"Museum","Catalog.Number","Day","Month","Year","Subspecies","Sex","Age","Country","State.Province","County","Location","Latitude","Longitude","Hood.L","Hood.a","Hood.b","Back.L","Back.a","Back.b"
"UCLA",216001,7,8,1927,"montanus","F","I","United States","Idaho","Boundary","HUNT PEAK, IDAHO",48.55,-116.6833,33.51,4.31,12.78,30.21,2.5,8.1
"UCLA",20009,1,4,1927,"montanus","M","U","United States","Idaho","Kootenai","FERNAN HILL, IDAHO",47.6833,-116.7167,31.1,2.95,11.69,17.92,1.91,5.11
"UCLA",18021,5,9,1926,"montanus","M","I","United States","Idaho","Kootenai","COEURD'ALENE IDAHO",47.6833333,-116.76667,27.14,4.59,12.59,18.41,1.88,6.32
"UCLA",18020,23,8,1926,"montanus","M","I","United States","Idaho","Kootenai","COEURD'ALENE IDAHO",47.6833333,-116.76667,31.53,5.33,14.23,25.08,2.11,7.73
"UCLA",18025,18,10,1926,"montanus","M","U","United States","Idaho","Kootenai","COEURD'ALENE IDAHO",47.6833333,-116.76667,29.9,4.14,12.89,21.29,1.8,5.11
"UCLA",18023,27,9,1926,"montanus","M","I","United States","Idaho","Kootenai","COEURD'ALENE IDAHO",47.6833333,-116.76667,33.89,4.2,12.52,21.11,1.66,4.95
"UCLA",18022,27,9,1926,"montanus","F","I","United States","Idaho","Kootenai","COEURD'ALENE IDAHO",47.6833333,-116.76667,30.56,4.17,12.85,19.85,2.08,5.12
"UCLA",18018,14,9,1926,"montanus","F","U","United States","Idaho","Kootenai","COEURD'ALENE IDAHO",47.6833333,-116.76667,32.06,4.48,13.87,24.25,2.33,7.06
"UCLA",19026,21,10,1926,"montanus","M","A","United States","Idaho","Kootenai","COEURD'ALENE IDAHO",47.677683,-116.78047,30.71,4.01,11.51,21.41,1.79,5.17
"UCLA",18019,15,8,1926,"montanus","F","U","United States","Idaho","Kootenai","HAYDEN LAKE, KOOTENAI IDAHO",47.7666667,-116.78333,31.75,5.02,14.6,29.02,1.7,7.46
"UCLA",21.756,18,9,1927,"montanus","M","A","United States","Idaho","Bonner","CHASES LAKE BONNER CO. IDAHO",48.459587,-116.824564,30.35,4.65,13.07,21.78,1.78,4.98
"SDNHM",28532,16,3,1924,"montanus","F","U","United States","Oregon","Malheur","ONTARIO, MALHEUR CO., OR",44.0265525,-116.96294,30.92,3.93,15.46,25.51,2.29,9.13
"SDNHM",28506,12,6,1925,"montanus","F","U","United States","Oregon","Wallowa","BILLY MEADOWS RANGE. STA., WALLOWA CO. OR",45.829596,-117.04238,33.07,3.64,13.96,26.61,2.01,8.19
"SDNHM",28511,13,6,1925,"montanus","F","U","United States","Oregon","Wallowa","BILLY MEADOWS RANGE. STA., WALLOWA CO. OR",45.829596,-117.04238,30.95,3.1,12.53,29.26,1.49,6.64
"SDNHM",28504,12,6,1925,"montanus","M","U","United States","Oregon","Wallowa","BILLY MEADOWS RANGE, STA. WALLOWA CO. OR",45.829596,-117.04238,30.85,3.72,13.31,20.19,2.08,5.31
"SDNHM",28505,12,6,1925,"montanus","M","U","United States","Oregon","Wallowa","BILLY MEADOWS RANGE, STA. WALLOWA CO. OR",45.829596,-117.04238,31.06,2.97,11.17,14.82,2.43,6.16
"SDNHM",28585,27,5,1933,"montanus","F","U","United States","Oregon","Baker","LOOKOUT MTN. BAKER CO., OR",44.6090506,-117.27852,33.56,2.89,12.78,26.32,2.05,6.58
"SDNHM",28502,13,5,1907,"montanus","F","U","United States","Oregon","Baker","ANTHONY, OR.",44.9821017,-117.36991,32.07,3.31,12.19,23.06,2.17,6.23
